2022.07.09 16:58:48.574 INFO  Model.MyModel - server for generating maze started at port 5400 and is ready to accept clients
2022.07.09 18:12:00.157 INFO  Model.MyModel - Client is asking for solving a maze with the algorithm: algorithms.search.DepthFirstSearch@3fcc3f3f
2022.07.09 18:12:00.168 INFO  Model.MyModel - Client accepted a solution for the maze from the server
2022.07.09 18:13:22.519 INFO  Model.MyModel - servers who was working is stopped from working, and the game has been exited successfully
2022.07.09 18:14:43.671 INFO  Model.MyModel - server for generating maze started at port 5400 and is ready to accept clients
2022.07.09 18:14:43.674 INFO  Model.MyModel - server for solving maze started at port 5401 and is ready to accept clients
2022.07.09 18:14:43.677 INFO  Model.MyModel - client connected to server - IP Johns-MacBook-Pro.local/127.0.0.1, Port = 5400
2022.07.09 18:14:43.677 INFO  Model.MyModel - client is asking for generating maze with the algorithm: algorithms.mazeGenerators.MyMazeGenerator@16060bdf
2022.07.09 18:14:43.677 INFO  Model.MyModel - Client is asking for generating a maze with rows 12 and columns 12
2022.07.09 18:14:43.684 INFO  Model.MyModel - Client accepted a maze from the server successfully
2022.07.09 18:19:23.192 INFO  Model.MyModel - servers who was working is stopped from working, and the game has been exited successfully
2022.07.09 18:21:08.042 INFO  Model.MyModel - server for generating maze started at port 5400 and is ready to accept clients
2022.07.09 18:21:08.044 INFO  Model.MyModel - server for solving maze started at port 5401 and is ready to accept clients
2022.07.09 18:21:08.046 INFO  Model.MyModel - client connected to server - IP Johns-MacBook-Pro.local/127.0.0.1, Port = 5400
2022.07.09 18:21:08.047 INFO  Model.MyModel - client is asking for generating maze with the algorithm: algorithms.mazeGenerators.MyMazeGenerator@27cf84bc
2022.07.09 18:21:08.047 INFO  Model.MyModel - Client is asking for generating a maze with rows 12 and columns 12
2022.07.09 18:21:08.053 INFO  Model.MyModel - Client accepted a maze from the server successfully
2022.07.09 18:21:09.277 INFO  Model.MyModel - client connected to server - IP Johns-MacBook-Pro.local/127.0.0.1, Port = 5401
2022.07.09 18:21:09.278 INFO  Model.MyModel - Client is asking for solving a maze with the algorithm: algorithms.search.DepthFirstSearch@6811c46d
2022.07.09 18:21:09.288 INFO  Model.MyModel - Client accepted a solution for the maze from the server
2022.07.09 18:22:30.389 INFO  Model.MyModel - server for generating maze started at port 5400 and is ready to accept clients
2022.07.09 18:22:30.391 INFO  Model.MyModel - server for solving maze started at port 5401 and is ready to accept clients
2022.07.09 18:22:30.393 INFO  Model.MyModel - client connected to server - IP Johns-MacBook-Pro.local/127.0.0.1, Port = 5400
2022.07.09 18:22:30.393 INFO  Model.MyModel - client is asking for generating maze with the algorithm: algorithms.mazeGenerators.MyMazeGenerator@53be787f
2022.07.09 18:22:30.393 INFO  Model.MyModel - Client is asking for generating a maze with rows 12 and columns 12
2022.07.09 18:22:30.399 INFO  Model.MyModel - Client accepted a maze from the server successfully
2022.07.09 18:22:31.099 INFO  Model.MyModel - client connected to server - IP Johns-MacBook-Pro.local/127.0.0.1, Port = 5401
2022.07.09 18:22:31.099 INFO  Model.MyModel - Client is asking for solving a maze with the algorithm: algorithms.search.DepthFirstSearch@2af728e6
2022.07.09 18:22:31.110 INFO  Model.MyModel - Client accepted a solution for the maze from the server
2022.07.09 18:24:42.924 INFO  Model.MyModel - server for generating maze started at port 5400 and is ready to accept clients
2022.07.09 18:24:42.927 INFO  Model.MyModel - server for solving maze started at port 5401 and is ready to accept clients
2022.07.09 18:24:42.928 INFO  Model.MyModel - client connected to server - IP Johns-MacBook-Pro.local/127.0.0.1, Port = 5400
2022.07.09 18:24:42.929 INFO  Model.MyModel - client is asking for generating maze with the algorithm: algorithms.mazeGenerators.MyMazeGenerator@53be787f
2022.07.09 18:24:42.929 INFO  Model.MyModel - Client is asking for generating a maze with rows 12 and columns 12
2022.07.09 18:24:42.935 INFO  Model.MyModel - Client accepted a maze from the server successfully
2022.07.09 18:24:43.774 INFO  Model.MyModel - client connected to server - IP Johns-MacBook-Pro.local/127.0.0.1, Port = 5401
2022.07.09 18:24:43.775 INFO  Model.MyModel - Client is asking for solving a maze with the algorithm: algorithms.search.DepthFirstSearch@6811c46d
2022.07.09 18:24:43.787 INFO  Model.MyModel - Client accepted a solution for the maze from the server
2022.07.09 18:31:44.139 INFO  Model.MyModel - server for generating maze started at port 5400 and is ready to accept clients
2022.07.09 18:31:44.142 INFO  Model.MyModel - server for solving maze started at port 5401 and is ready to accept clients
2022.07.09 18:31:44.144 INFO  Model.MyModel - client connected to server - IP Johns-MacBook-Pro.local/127.0.0.1, Port = 5400
2022.07.09 18:31:44.145 INFO  Model.MyModel - client is asking for generating maze with the algorithm: algorithms.mazeGenerators.MyMazeGenerator@4f871388
2022.07.09 18:31:44.145 INFO  Model.MyModel - Client is asking for generating a maze with rows 300 and columns 300
2022.07.09 18:31:44.299 INFO  Model.MyModel - Client accepted a maze from the server successfully
2022.07.09 18:32:06.673 INFO  Model.MyModel - Maze is saved successfully in the following file path: /Users/john-zaatri/Desktop/no relevant documents/maze1.txt
2022.07.09 18:32:10.839 INFO  Model.MyModel - client connected to server - IP Johns-MacBook-Pro.local/127.0.0.1, Port = 5401
2022.07.09 18:32:10.839 INFO  Model.MyModel - Client is asking for solving a maze with the algorithm: algorithms.search.DepthFirstSearch@772b94fa
2022.07.09 18:32:10.966 INFO  Model.MyModel - Client accepted a solution for the maze from the server
2022.07.09 18:32:18.192 INFO  Model.MyModel - client connected to server - IP Johns-MacBook-Pro.local/127.0.0.1, Port = 5400
2022.07.09 18:32:18.193 INFO  Model.MyModel - client is asking for generating maze with the algorithm: algorithms.mazeGenerators.MyMazeGenerator@2ce49b8a
2022.07.09 18:32:18.193 INFO  Model.MyModel - Client is asking for generating a maze with rows 10 and columns 10
2022.07.09 18:32:18.194 INFO  Model.MyModel - Client accepted a maze from the server successfully
2022.07.09 18:32:20.204 INFO  Model.MyModel - client connected to server - IP Johns-MacBook-Pro.local/127.0.0.1, Port = 5401
2022.07.09 18:32:20.204 INFO  Model.MyModel - Client is asking for solving a maze with the algorithm: algorithms.search.DepthFirstSearch@6dc0d521
2022.07.09 18:32:20.209 INFO  Model.MyModel - Client accepted a solution for the maze from the server
2022.07.09 18:33:05.791 INFO  Model.MyModel - client connected to server - IP Johns-MacBook-Pro.local/127.0.0.1, Port = 5400
2022.07.09 18:33:05.792 INFO  Model.MyModel - client is asking for generating maze with the algorithm: algorithms.mazeGenerators.SimpleMazeGenerator@2602d88b
2022.07.09 18:33:05.793 INFO  Model.MyModel - Client is asking for generating a maze with rows 50 and columns 50
2022.07.09 18:33:05.799 INFO  Model.MyModel - Client accepted a maze from the server successfully
2022.07.09 18:33:07.974 INFO  Model.MyModel - client connected to server - IP Johns-MacBook-Pro.local/127.0.0.1, Port = 5400
2022.07.09 18:33:07.974 INFO  Model.MyModel - client is asking for generating maze with the algorithm: algorithms.mazeGenerators.SimpleMazeGenerator@51d1f27b
2022.07.09 18:33:07.974 INFO  Model.MyModel - Client is asking for generating a maze with rows 50 and columns 50
2022.07.09 18:33:07.981 INFO  Model.MyModel - Client accepted a maze from the server successfully
2022.07.09 18:33:08.624 INFO  Model.MyModel - client connected to server - IP Johns-MacBook-Pro.local/127.0.0.1, Port = 5400
2022.07.09 18:33:08.624 INFO  Model.MyModel - client is asking for generating maze with the algorithm: algorithms.mazeGenerators.SimpleMazeGenerator@642f4572
2022.07.09 18:33:08.624 INFO  Model.MyModel - Client is asking for generating a maze with rows 50 and columns 50
2022.07.09 18:33:08.627 INFO  Model.MyModel - Client accepted a maze from the server successfully
2022.07.09 18:33:10.557 INFO  Model.MyModel - client connected to server - IP Johns-MacBook-Pro.local/127.0.0.1, Port = 5401
2022.07.09 18:33:10.558 INFO  Model.MyModel - Client is asking for solving a maze with the algorithm: algorithms.search.BestFirstSearch@446f1450
2022.07.09 18:33:10.563 INFO  Model.MyModel - Client accepted a solution for the maze from the server
2022.07.09 18:33:15.075 INFO  Model.MyModel - client connected to server - IP Johns-MacBook-Pro.local/127.0.0.1, Port = 5401
2022.07.09 18:33:15.075 INFO  Model.MyModel - Client is asking for solving a maze with the algorithm: algorithms.search.BestFirstSearch@4eb3451c
2022.07.09 18:33:15.078 INFO  Model.MyModel - Client accepted a solution for the maze from the server
2022.07.09 18:34:47.330 INFO  Model.MyModel - server for generating maze started at port 5400 and is ready to accept clients
2022.07.09 18:34:47.333 INFO  Model.MyModel - server for solving maze started at port 5401 and is ready to accept clients
2022.07.09 18:34:55.533 INFO  Model.MyModel - client connected to server - IP Johns-MacBook-Pro.local/127.0.0.1, Port = 5400
2022.07.09 18:34:55.533 INFO  Model.MyModel - client is asking for generating maze with the algorithm: algorithms.mazeGenerators.SimpleMazeGenerator@6f319f1
2022.07.09 18:34:55.533 INFO  Model.MyModel - Client is asking for generating a maze with rows 12 and columns 12
2022.07.09 18:34:55.541 INFO  Model.MyModel - Client accepted a maze from the server successfully
2022.07.09 18:34:57.697 INFO  Model.MyModel - client connected to server - IP Johns-MacBook-Pro.local/127.0.0.1, Port = 5400
2022.07.09 18:34:57.697 INFO  Model.MyModel - client is asking for generating maze with the algorithm: algorithms.mazeGenerators.SimpleMazeGenerator@49370983
2022.07.09 18:34:57.697 INFO  Model.MyModel - Client is asking for generating a maze with rows 12 and columns 12
2022.07.09 18:34:57.698 INFO  Model.MyModel - Client accepted a maze from the server successfully
2022.07.09 18:34:58.864 INFO  Model.MyModel - client connected to server - IP Johns-MacBook-Pro.local/127.0.0.1, Port = 5400
2022.07.09 18:34:58.865 INFO  Model.MyModel - client is asking for generating maze with the algorithm: algorithms.mazeGenerators.SimpleMazeGenerator@712206cd
2022.07.09 18:34:58.865 INFO  Model.MyModel - Client is asking for generating a maze with rows 12 and columns 12
2022.07.09 18:34:58.867 INFO  Model.MyModel - Client accepted a maze from the server successfully
2022.07.09 18:34:59.631 INFO  Model.MyModel - client connected to server - IP Johns-MacBook-Pro.local/127.0.0.1, Port = 5400
2022.07.09 18:34:59.631 INFO  Model.MyModel - client is asking for generating maze with the algorithm: algorithms.mazeGenerators.SimpleMazeGenerator@4a181d69
2022.07.09 18:34:59.631 INFO  Model.MyModel - Client is asking for generating a maze with rows 12 and columns 12
2022.07.09 18:34:59.633 INFO  Model.MyModel - Client accepted a maze from the server successfully
2022.07.09 18:35:28.989 INFO  Model.MyModel - Maze is loaded successfully from the file path: /Users/john-zaatri/Desktop/no relevant documents/maze1.txt
2022.07.09 18:43:32.662 INFO  Model.MyModel - server for generating maze started at port 5400 and is ready to accept clients
2022.07.09 18:43:32.664 INFO  Model.MyModel - server for solving maze started at port 5401 and is ready to accept clients
2022.07.09 18:43:32.666 INFO  Model.MyModel - client connected to server - IP Johns-MacBook-Pro.local/127.0.0.1, Port = 5400
2022.07.09 18:43:32.666 INFO  Model.MyModel - client is asking for generating maze with the algorithm: algorithms.mazeGenerators.SimpleMazeGenerator@3cb62f0d
2022.07.09 18:43:32.666 INFO  Model.MyModel - Client is asking for generating a maze with rows 12 and columns 12
2022.07.09 18:43:32.672 INFO  Model.MyModel - Client accepted a maze from the server successfully
2022.07.09 18:49:36.872 INFO  Model.MyModel - server for generating maze started at port 5400 and is ready to accept clients
2022.07.09 18:49:36.876 INFO  Model.MyModel - server for solving maze started at port 5401 and is ready to accept clients
2022.07.09 18:50:54.308 INFO  Model.MyModel - client connected to server - IP Johns-MacBook-Pro.local/127.0.0.1, Port = 5400
2022.07.09 18:50:54.309 INFO  Model.MyModel - client is asking for generating maze with the algorithm: algorithms.mazeGenerators.SimpleMazeGenerator@7f11b645
2022.07.09 18:50:54.310 INFO  Model.MyModel - Client is asking for generating a maze with rows 12 and columns 9
2022.07.09 18:50:54.317 INFO  Model.MyModel - Client accepted a maze from the server successfully
2022.07.09 18:51:12.786 INFO  Model.MyModel - client connected to server - IP Johns-MacBook-Pro.local/127.0.0.1, Port = 5400
2022.07.09 18:51:12.787 INFO  Model.MyModel - client is asking for generating maze with the algorithm: algorithms.mazeGenerators.MyMazeGenerator@18a6332f
2022.07.09 18:51:12.787 INFO  Model.MyModel - Client is asking for generating a maze with rows 12 and columns 9
2022.07.09 18:51:12.788 INFO  Model.MyModel - Client accepted a maze from the server successfully
2022.07.09 18:51:13.502 INFO  Model.MyModel - client connected to server - IP Johns-MacBook-Pro.local/127.0.0.1, Port = 5400
2022.07.09 18:51:13.502 INFO  Model.MyModel - client is asking for generating maze with the algorithm: algorithms.mazeGenerators.MyMazeGenerator@6c830c41
2022.07.09 18:51:13.502 INFO  Model.MyModel - Client is asking for generating a maze with rows 12 and columns 9
2022.07.09 18:51:13.504 INFO  Model.MyModel - Client accepted a maze from the server successfully
2022.07.09 18:51:14.135 INFO  Model.MyModel - client connected to server - IP Johns-MacBook-Pro.local/127.0.0.1, Port = 5400
2022.07.09 18:51:14.136 INFO  Model.MyModel - client is asking for generating maze with the algorithm: algorithms.mazeGenerators.MyMazeGenerator@491c0d13
2022.07.09 18:51:14.136 INFO  Model.MyModel - Client is asking for generating a maze with rows 12 and columns 9
2022.07.09 18:51:14.137 INFO  Model.MyModel - Client accepted a maze from the server successfully
2022.07.09 18:51:14.802 INFO  Model.MyModel - client connected to server - IP Johns-MacBook-Pro.local/127.0.0.1, Port = 5400
2022.07.09 18:51:14.802 INFO  Model.MyModel - client is asking for generating maze with the algorithm: algorithms.mazeGenerators.MyMazeGenerator@766dd299
2022.07.09 18:51:14.802 INFO  Model.MyModel - Client is asking for generating a maze with rows 12 and columns 9
2022.07.09 18:51:14.803 INFO  Model.MyModel - Client accepted a maze from the server successfully
2022.07.09 18:51:15.352 INFO  Model.MyModel - client connected to server - IP Johns-MacBook-Pro.local/127.0.0.1, Port = 5400
2022.07.09 18:51:15.352 INFO  Model.MyModel - client is asking for generating maze with the algorithm: algorithms.mazeGenerators.MyMazeGenerator@7b1f0f0a
2022.07.09 18:51:15.353 INFO  Model.MyModel - Client is asking for generating a maze with rows 12 and columns 9
2022.07.09 18:51:15.354 INFO  Model.MyModel - Client accepted a maze from the server successfully
2022.07.09 18:51:15.802 INFO  Model.MyModel - client connected to server - IP Johns-MacBook-Pro.local/127.0.0.1, Port = 5400
2022.07.09 18:51:15.802 INFO  Model.MyModel - client is asking for generating maze with the algorithm: algorithms.mazeGenerators.MyMazeGenerator@50df4790
2022.07.09 18:51:15.802 INFO  Model.MyModel - Client is asking for generating a maze with rows 12 and columns 9
2022.07.09 18:51:15.804 INFO  Model.MyModel - Client accepted a maze from the server successfully
2022.07.09 18:51:16.153 INFO  Model.MyModel - client connected to server - IP Johns-MacBook-Pro.local/127.0.0.1, Port = 5400
2022.07.09 18:51:16.153 INFO  Model.MyModel - client is asking for generating maze with the algorithm: algorithms.mazeGenerators.MyMazeGenerator@6cc4feef
2022.07.09 18:51:16.153 INFO  Model.MyModel - Client is asking for generating a maze with rows 12 and columns 9
2022.07.09 18:51:16.155 INFO  Model.MyModel - Client accepted a maze from the server successfully
2022.07.09 18:51:22.949 INFO  Model.MyModel - Maze is loaded successfully from the file path: /Users/john-zaatri/Desktop/no relevant documents/maze1.txt
2022.07.09 18:51:25.126 INFO  Model.MyModel - client connected to server - IP Johns-MacBook-Pro.local/127.0.0.1, Port = 5400
2022.07.09 18:51:25.127 INFO  Model.MyModel - client is asking for generating maze with the algorithm: algorithms.mazeGenerators.MyMazeGenerator@377993e4
2022.07.09 18:51:25.127 INFO  Model.MyModel - Client is asking for generating a maze with rows 10 and columns 10
2022.07.09 18:51:25.128 INFO  Model.MyModel - Client accepted a maze from the server successfully
2022.07.09 18:51:52.423 INFO  Model.MyModel - servers who was working is stopped from working, and the game has been exited successfully
